
Image Name                     PID Session Name        Session#    Mem Usage
RuntimeBroker.exe            26080 Console                    2      5,952 K
svchost.exe                   2808 Console                    2      8,068 K
ApplicationFrameHost.exe     10432 Console                    2      3,520 K
SystemSettings.exe           14928 Console                    2      2,752 K
UserOOBEBroker.exe           19356 Console                    2      6,064 K
WidgetService.exe            10944 Console                    2      8,248 K
svchost.exe                   2192 Console                    2      9,200 K
dllhost.exe                   3188 Console                    2      6,112 K
taskhostw.exe                 8684 Console                    2      3,820 K
wpscloudsvr.exe              20108 Console                    2      5,904 K
wpscenter.exe                18428 Console                    2      4,952 K
dllhost.exe                  23920 Console                    2     12,468 K
conhost.exe                  20940 Console                    2        840 K
svchost.exe                  19512 Services                   0      4,992 K
svchost.exe                  14348 Console                    2      3,516 K
PrintDialog.exe              11096 Console                    2        612 K
RuntimeBroker.exe            20740 Console                    2      3,356 K
dasHost.exe                  25632 Services                   0      1,796 K
Zalo.exe                      2040 Console                    2     36,364 K
Zalo.exe                     24924 Console                    2     18,152 K
Zalo.exe                      7500 Console                    2     14,188 K
Zalo.exe                     21472 Console                    2     27,220 K
ZaloCap.exe                   5560 Console                    2      5,336 K
Zalo.exe                     20928 Console                    2      7,596 K
Zalo.exe                     18956 Console                    2     70,412 K
ZaviMeet.exe                  8308 Console                    2      1,984 K
ZaloCall.exe                 15312 Console                    2      2,336 K
LenovoVantageService.exe     16280 Services                   0     25,400 K
LenovoVantage-(IdeaNotebo    14444 Console                    2     26,080 K
LenovoVantage-(VantageCor     8448 Services                   0      8,216 K
LenovoVantage-(Multimedia     1884 Console                    2     16,580 K
BatteryWidgetHost.exe         3744 Console                    2     29,184 K
LenovoVantage-(DeviceSett    22364 Console                    2      5,016 K
msedgewebview2.exe           13620 Console                    2     21,824 K
msedgewebview2.exe           18680 Console                    2      4,756 K
msedgewebview2.exe           18376 Console                    2      6,424 K
msedgewebview2.exe           21276 Console                    2      9,688 K
msedgewebview2.exe           21532 Console                    2     72,036 K
LenovoVantage-(SettingsWi    13764 Console                    2     22,056 K
svchost.exe                  18872 Services                   0    107,484 K
LenovoVantage-(SmartDispl    14816 Console                    2      6,292 K
LenovoVantage-(GenericMes    22360 Console                    2      4,288 K
mysqld.exe                   16520 Services                   0      2,540 K
mysqld.exe                   21716 Services                   0     28,864 K
conhost.exe                   7796 Services                   0      2,204 K
LockApp.exe                  26776 Console                    2      1,552 K
RuntimeBroker.exe            12188 Console                    2     12,232 K
audiodg.exe                  26144 Services                   0     23,716 K
WmiPrvSE.exe                  9964 Services                   0     19,836 K
svchost.exe                   3992 Services                   0      7,296 K
svchost.exe                  22684 Services                   0      4,732 K
